text,label
Nhìn chúng nó cmt mà đắng bạn à =))))))),non_toxic
Ý thức còn ít hơn cả số tiền trong túi t,toxic
Em yêu anh từ thuở tóc dài,non_toxic
theo chân mấy anh hàn quốc rồi :,non_toxic
"Lương tháng 7,8 củ thui ak con trai, nhưng bố vẫn ăn tạm cua hoàng đế để sống wa ngày thôi con trai ak",non_toxic
Mệt quá thầy ạ 😞,non_toxic
Gia Lộc Tran Quang còn j vui hơn cà khịa :)))))),non_toxic
chị Hôm nay đẹp quá,non_toxic
Xem r nè,non_toxic
Việt Tiến nghèo là rõ 🤦,non_toxic
xxx video 🔞,toxic
thầy đéo xoá kênh kêu gọi học trò report cho bay kênh thiệt luôn :)),toxic
Anh ba láo nháo là Tú xiên giờ,toxic
Người ta bị lường gạt 1tỷ mấy còn êm ru mà đằng này hơn trăm triệu thôi mà la um xùm hà,non_toxic
Tú thích hoa hồng và mùa đông được Quang đâm phía sau mông,non_toxic
"mẹ, sao bộ k mở cửa hàng kinh doanh bán bình luôn cho dân, ko lại phạt vì mua phải bình đểu :)))",toxic
Cuối cùng anh đã trở lại. Em tưởng anh biến mất luôn cho em mừng 🙂 thiệt là tình( nội dung mang tính giải trí. Ko có ý anti hay ghét ai),non_toxic
Chi 3 cai gi cung co nhung cai lờ la chi 3 hét kiếp nay cung k bao gio co .,toxic
Vừa tăng lương phát biết ngay,non_toxic
Ai là cảm tình diên like,non_toxic
Xin tộc trưởng hãy cho Hiếu lợn thần ra trận! Đảm bảo sẽ có chiến thắng,non_toxic
Đấu khẩu - Chim lợn 👍,toxic
Cai miệng nói không sợ bị hậu quả,toxic
4 năm rồi à,non_toxic
Đầu 2 thứ tóc rồi mà còn bị trẻ trâu Levi lừa.🤣,non_toxic
Nguoi mien trung nhu e chi ngoi xem cac bac chui nhau thoi :)),non_toxic
Khắc Thành Nguyễn phục cái máu lồn,toxic
Quan va. Dan nhu nhau phai ton trong phap luat. Khong thuen vi mot ai?,non_toxic
Chúc abe 20-10 vui vẻ,non_toxic
ko vào thì lấy đâu ra vốn vay FDI cho các anh đút túi ?,non_toxic
Việc nhẹ lương cao mình xin nhường cho những người thất nghiệp:)),non_toxic
B52 If J97,non_toxic
Chào người anh em,non_toxic
Diệp Gia Nghi nghiệp nó quật m chết bh,non_toxic
"Duy Khương bên nó ai bị hoặc nghi bị thì tự cách ly tự điểu trị nhé, nó còn không cho xét nghiệm cơ, chỉ khi nào bạn chết thì nó mới khám nghiệm để kết luận có do virus hay không, ở ngoài đường mà đeo khẩu trang bọn Anh nó còn đấm vào mặt cho chứ ở đó mà điều trị",non_toxic
9x5=55 chứ ôg a già😆,non_toxic
Trương Duy ko mvp đội mình thì là mvp của đội bạn :))),non_toxic
Xin video với bro 😄,non_toxic
Bị gì bị lắm thế,non_toxic
Du học sinh Úc cơ ấy =)),non_toxic
Ôi vãi a quang :v,non_toxic
Chờ đợi 17 nồi bánh chưng mới đc fan cứng nên cmt cho kh mất chứ ko biết chơi GA,non_toxic
Khá khó🙂,non_toxic
Giúp e làm đẹp với . E ko có điều kiện. Ko có khả năg nhưg thấy có người đẹp e rất thích,non_toxic
Thu Boo xuất sắc ...nhưng em lại làm mấy bạn kia buồn thêm 🤣🤣🤣,non_toxic
"Hoan nghênh ông Trần Dần có tư tưởng tiến bộ, không chống cộng sản Việt Nam nữa. Chỉ có quên đi quá khứ để yêu thương . Ai cũng về già lo tu thân sám hối là điều lựa chọn tốt nhất. Chúc ông Trần Dần sống lâu 130 tuổi và luôn khỏe mạnh đẹp lão.",non_toxic
Mấy thằng già làm bộ trưởng này nọ mà đầu óc thua cả 1 bác nông dân,toxic
Võ Thành Nhân huyền thoại :((,non_toxic
Sương mù là tại thiên tai !,non_toxic
Mình không quan tâm cô đơn cho lắm,non_toxic
Thế e thích làm phù thuỷ r bạn nam phải làm s đây a nhỉ😆,non_toxic
Uầy tôi là cưng phán các ông ạ được vl a ưi =))),non_toxic
Maruko Linh,non_toxic
ảnh này ở video Superheroo nghe buồn não ruột -__-,non_toxic
anh tik nói quá đúng luôn,non_toxic
BaVi :)),non_toxic
Ở đây ai là chủ ???,non_toxic
Minh mẫn vcl,toxic
Chú Bòn em chặt chứ ko ăn nha =))))))),non_toxic
Cực kì thuyế...hác xì....á chết mẹ..,non_toxic
Lee Quang tôi toàn nghe nhạc của bùi anh tuấn! Hà anh tuấn! Nghe mấy bài này ko thấm nổi,non_toxic
Nguyễn Trọng Thái người ta nói bạn đợi nhưng bạn có biết bạn đang đợi cái lone gì không. Hay là đợi thiệp hồng,non_toxic
"Có anh Độ, Tết lúc nào chả vui",non_toxic
Nghe nói trước đây 1 số thành phần người hà nội kì thị dân vĩnh phúc đúng không nhỉ. Bh sao thì mấy ngừoi đó bị lây hết chưa ấy nhể,non_toxic
Huy Hoàng =)),non_toxic
Thảo NG thua tại dốt av qa :v,non_toxic
😞,non_toxic
Dần dần thấy jack mất hay,non_toxic
Dì 3 ê dì 3_ là trai hay gái ạ,non_toxic
Vợ Cuốc sư là Bùi Kim Thành còn vợ nhỏ là lisa phạm,non_toxic
Trước khi cắm lên đầu em 4 cái sừng nó cũng bảo y như thế :((((,non_toxic
éo nha liu liu,toxic
#NAME?,non_toxic
Cận thận nhà ae,non_toxic
Idol,non_toxic
Duyên Phạm ghê tr nay văn chương dữ hén,non_toxic
xin ạ,non_toxic
Hoàng Minh,non_toxic
Anh Trung Magic,non_toxic
"có một sự tồn tại của đàn bò mang tên "" cực kỳ thuyết phục "", có sở thích là nhai đi nhai lại, mục đích của chúng trên hành tinh này vẫn chưa có lời giải đáp, theo như các nhà động vật học cho biết loài bò này có lối sống hoang dâm trụy lạc, có thể động dục bất cứ lúc nào, con số của loài này đang được gia tăng đáng kể.",toxic
Ck4mk4m là gì á mn,non_toxic
Cho toyy xin in4 FB hoặc sđt zalo hay ig được hong :33,non_toxic
Chị chữi là chị cứu nhân độ thế🤣🤣,non_toxic
Nghi vấn thầy chà trộn TTBL tu,non_toxic
Lại Hợp Sâm clm đến v thì /ff,toxic
Dao chặt không đứt kkkkk🤣🤣🤣🤣🤣🤣,non_toxic
Hồng Thy cái giọng điệu nói cảm thấy hao hao giống ..!,non_toxic
Nhanh thực sự,non_toxic
Đồng Nhung máy bay phalcon 10 tỷ belike :,non_toxic
So Pre Tài Trợ Độ Tây Ngày Hôm Ngày =)),non_toxic
Nghe kể chuyện tí rồi làm tiếp a Thanh Le :))),non_toxic
Hoàng Anh từ tư 😁,non_toxic
Dep trai moi co nhieu dua yeu,non_toxic
Bt các bạn phan cuồng chửi vậy mik đã ko nêu ra ý kiến cá nhân,non_toxic
thêm một người bị cộng sản nhồi sọ không biết sao có thể nạo ra được hết chất bã trong đầu,toxic
Nghe giọng nứkg quá Abe :)),toxic
ông làm bố tôi hơi lâu rồi đấy' Tùng sói said,non_toxic
Vì refund top 1 nên tối nay mình xin phép ea..blabla,non_toxic
Anh Trung Giả Kim 😂,non_toxic
Có khả năng tối nay anh bị ngủ ngoài đường :)) tu bi con tờ niu,non_toxic
Bùn nhở,non_toxic
Pháo thủ toang cmnl @@,non_toxic
Bóng khùng bóng điên,toxic
Làm thêm chục củ mở hòm csgo anh êi :V,non_toxic
Lê Huyền người ư ?sinh vật hạ đẳng chứ ngươi ai lam thế .,toxic
Cao Lãnh với chúng tôi làyy,non_toxic
Làm nhẹ 3-0 cho nó ok,non_toxic
🙆🏻‍♀️,non_toxic
ặc :),non_toxic
Ai xin inb tôi đi,non_toxic
"Goodnow Tran lo ở nhà đi ra ngoài tiết diên mày bị mắc bệnh giờ, tui cam đoan là như dị",non_toxic
"Nhìn chị Minh Hiếu có duyên hết sức, nói chuyện rất chân thật, mặc dù mỗi lần live chửi rất táo tợn nhưng nghe và nhìn chị ấy rất thánh thiện và chất. Chúc chị luôn vui khoẻ và hp. Mong có dịp sẽ được gặp chị",non_toxic
Dễ thương và duyên quá Cô ơi. Love Cô.,non_toxic
Lê Thị Bích Hồng tk trẩu,toxic
nhớ nuôi kiểu tóc này mới đủ combo nhé ae,non_toxic
Chang Chang 🥥🥥🥥🥥,non_toxic
Nguyễn Trang nói thật mị 🤣,non_toxic
1 ng thì giết 1 mạng . 1 ng thì feed tụt lol,non_toxic
Có pải nổ lực là có được đâu.pải có 1 chút gọi là may mắn nữa,non_toxic
Panda Thái đã xem =))),non_toxic
Luôn ủng hộ K-ATM,non_toxic
Còn bạn này nữa thầy ơi,non_toxic
Giọng cuốn vc,non_toxic
Nguyễn Đào Nguyên,non_toxic
thế thua gì bác.. k công khai mà cả VN điều biết tên e nó bác nghĩ ngta đón được sao????,non_toxic
Ai ki nghe nói cũng đi ý về,non_toxic
"không có thì ""sản xuất"" ra -_-",non_toxic
Hợp lí anh ơi,non_toxic
Đc anh ui,non_toxic
Con người sao lại như vậy?,non_toxic
Bảo dan tri thap thì tự ái :),toxic
Tại sao phải trả lời thầy,non_toxic
Cái trend Nghe có vẻ mãi chúng nó vẫn chưa chán nhỉ,non_toxic
Đang lúc dầu sôi lửa bỏng bay kiếm clmn hay gì á rồi đem bênh về đây cho nhà nước nuôi tốn cơm tốn gạo,toxic
Con nho nay hom truoc chui Ong ba Cha me ca nguoi Vn la minh biet no bi Ma nhap no truoc khi bi chet.. ..gao thet kinh hon de truoc khi xuong dia nguc...🙏🙏🙏,non_toxic
Anh Minh chậm cái con cặc,toxic
reaction thầy ơi,non_toxic
Đoạn đánh răng chiếm quá nhiều thgian :)),non_toxic
"Đù dại ghê, bọn đấy ngày nào nó cũng lên Phường xiên cho nó 1 cái, đuợc tiếng luôn, vào khám mấy anh chị cũng thương, xiên hết mọi thằng trên Phường luôn cho nó Sum",toxic
Chị 3 cho e 200 triệu đi làm chymmm đi huhuh,non_toxic
Tóm lại là chửi nhau phải có văn hoá 😂😂😂👏🏻👏🏻 e thích page rồi đấy 😂😂,non_toxic
A tiệp:,non_toxic
Khi đi nhớ đem theo Susan nha thầy :)),non_toxic
cái tay cái tay,non_toxic
Vẫn có 1 người tặng quà va len thai cho mình mn ạ.,non_toxic
Giật cho mất mẹ cả cái mụn ruồi (:,non_toxic
Tóm lại là con gái hay trai... 😶😶😶...bực mình vl nhìn hoài ko ra 😑😑,toxic
Đào Hà Văn Rinaky Cn anh chị ơi cẩn thận nhé ạ,non_toxic
Điều kiện hạn chế viruss phát tán có thể là phòng trên 26 độ là cơ bản. Còn mọi thứ điều cis thể. Hãy đọc kĩ những bài nói về viruss corona the trang chính thống nha,non_toxic
Bắt được đừng chữa nhốt vào cho chết luôn...loại này đừng để đẻ trứng!!!,toxic
Optimusthree với 99% sức mạnh,non_toxic
:3,non_toxic
Hahahaha,non_toxic
"ô thế mọi người k bit ak, Trần Dần mắc bệnh từ khi chưa có dịch ak...ông này mắc loại bệnh còn nguy hiểm hơn Covid 19...",non_toxic
Đồng bọn nhỏ đó khi zo tù :))),non_toxic
Nguyễn Thị Luận Hà Nam cũng vậy :),non_toxic
gáy to thế mi anh,non_toxic
Bảo Tín đi du lịch gặp con gì ngứa ngứa ở biển e đã sợ lắm r sao xuất hiện con này nữa,non_toxic
"Học cách kiểm soát bộ não của mình đi, thích thì tiến tới, ghét thì bỏ qua",non_toxic
Phạm Linh ko co cl,toxic
Qtrong gì trước sau gì chẳng về 1 nhà,non_toxic
Tức diêng là idol vẫn còn ngon cơm. Tức diêng là mắt thấy tai nghe chứ ko phải nằm chiêm bao,non_toxic
Con Thương cô lắm,non_toxic
Cực kỳ thu....,non_toxic
Thánh chửi lãnh án,non_toxic
xe chở súc vật mong người dân hãy tránh xa (đề phòng súc vật phóng uế lung tung làm mất vệ sinh).,toxic
À thế bạn ý hát bài j jui có ai giới thiệu cho mình đc ko. Lâu jui mình chẳng nghe bài hát mới nào cả,non_toxic
"Chúc anh em năm mới vui vẻ, an khang thịnh vượng.",non_toxic
Có táo quân thỳ mới là tết chứ,non_toxic
"Samsung vẫn đi làm bth nhé, mỗi ngày đi làm là 1 ngày vui 😜😜😜😜",non_toxic
Chú trung đầu L chứ chú tí đầu lân clg 🤣,toxic
"Chi đep qua chi,e thích qua",non_toxic
Oh shjt,toxic
Cáo từ,non_toxic
Nhật Long toang. Kiểu ni còn lâu lắm :((,non_toxic
Hiếu Bùi sủa dơ,toxic
Ok trung bảnh,non_toxic
:)),non_toxic
ad nói phét à bê tông ăn thế nào đc,non_toxic
Con thuong co ba,non_toxic
Á nhà tiên tri ủng hộ nghị quyết 36 rồi nhé 🤣🤣🤣,non_toxic
Nguyễn Thị Phương bạn ơi cho mình xin ảnh để sống ảo đc k ạ?,non_toxic
Chào nhà báo vũ hoàng Lân. Chào danh hài vũ trụ trần tiger:-),non_toxic
Ok đẹp trai :v,non_toxic
Lan Hoa Tùng có dùng acc clone đi cmt đâu... dạo ??,non_toxic
ăn bận như cac họ,toxic
Cực kì thuyết p.....,non_toxic
Nhảy thế kia nhỡ may tiếp đất ko chuẩn lại ngã thì sao. thôi tôi tớ nhiều cứ bảo 1 thằng ra cõng cho chắc. :)),non_toxic
reaction thầy ơi,non_toxic
Chửi hay lắm ad,non_toxic
Chào nhéee,non_toxic
Thu Trang,non_toxic
Đau đầu vl :)),non_toxic
Mày nói như lồn. Bọn đa cấp nó đóng thuế còn gấp chục lần doanh nghiệp. Tao cho thằng thớt ăn lồn không oan chứ thằng bên dưới?,toxic
Thế cơ á,non_toxic
"Day khong phai la con nguoi nua ,,, tinh tinh tinh ,,",toxic
tks thầy nha ♥,non_toxic
Quá ngu lồn đi =))),toxic
Fan cô Minh hiếu đâu taaaa ❤️,non_toxic
Nguyen Ngoc Tam gia phú phải không 😂,non_toxic
Tình đồng chí thật kiên trung!Sách lịch sử dạy giặc tra tấn dã man thế nào cũng không mở mồm có #,toxic
bác dần chớm có tình yêu nước r đấy,non_toxic
Toang quá thầy ơiiii :))),non_toxic
"Làm cái đéo gì thì làm đừng để ng ta nhắc đến VN là gắn với từ ""ăn cắp"" :))",toxic
chị ba nói chuyện dễ thương quá,non_toxic
.,non_toxic
Cả nước đồng lòng riêng em thi ko,non_toxic
Còn ngưỡng mộ có ba nhé hihihi,non_toxic
Báo công an đi rồi quản lý thị trường hốt em luôn thể.,non_toxic
Im mẹ đi thằng mặt lon,toxic
thằng ad này não bị delay 3 năm à :)),toxic
🤣🤣🤣,non_toxic
How to nói đểu vợ :)),non_toxic
Mới hả mn 😅,non_toxic
"Ad hãy tìm số báo nào của báo quân đội khi viết "" ba-rách ô-ba-ma"" và ""đô-na trăm "". Vãi báo",toxic
Bọn chó sủa bậy,toxic
Thì ra thầy đã có tính tấu hài từ lúc làm tuyển thủ chuyên nghiệp,non_toxic
Sếp nhà mình cũng thế 🤩,non_toxic
bon comcom đơn vị tác chiến điện tử vs nhật ký yêu nước dm chúng mày vào mà đọc. tưởng ai cũng như chúng mày hết đấy,toxic
Các em nầy khi vào báo “công ngủ” với ác hồ thì phải chỉa vào mặt ác hồ như thế nầy nè :,toxic
Giận méo mặt =)),non_toxic
MV khá chất lượng,non_toxic
Đi làm cũng khổ :((,non_toxic
Thầy duo với levi để Tú bơ vơ,non_toxic
Lại 1 người nữa ra đi,non_toxic
Bác ơi chói quá,non_toxic
Tự hào quá VN ơi 😂,non_toxic
Khổ thân anh độ giải này mà nát mấy ông anti lại um lên cho mà xem ... Rồi team lại đủ thứ buồn. Còn ngày mai nữa mong các anh cố gắng,non_toxic
Ai yêu ib nhé,non_toxic
Chu Hoài tạo hình suốt mà giờ mới trend,non_toxic
em mê con nhỏ ngoài Trần Duy Hưng nhưng phải cố gắng nhiều hơn !!!,non_toxic
Tại mấy a tàu mà ra,non_toxic
Sợ thật ấy :))),non_toxic
Xin phép cả nhà nhaaaa!!!,non_toxic
"so với "" nghệ thuật sắp đặt "" trị giá 8.100 tỷ vnd của ông Hoàng Trung Hải thì tác phẩm ""trái chuối"".... rất là chuối !",non_toxic
Nước hoa đểu lấy đâu ra xịn :))) Hot girl méo gì nhìn xấu vkl thề :))),toxic
"Sam luôn luôn đi theo cặp nhé, 2 con chồng lên nhau ý",non_toxic
Trường Giang no no . Đg chỉ trích vì tính ích kỷ . K nghĩ cho ngkhac . Chứ bả sống thì tốt th chứ có j đâu,non_toxic
",..",non_toxic
Chúc mừng năm mới,non_toxic
Quân tâm ae có link xem chưa bao phê luôn ae ơi,non_toxic
Thầy làm gì cũng được đừng ra MV hát là được nha thầy. Nói chứ dm mãi yêu thầy,non_toxic
cứ như là 1 kịch bản hay cho việc hợp lý hóa xây sân bay long thành!,non_toxic
Cổ động viên quảng ninh nhưng rất thích chất cổ động viên hải phòng💐,non_toxic
Đưa ô già đi trốn hợp lý hơn =)),non_toxic
Suni Hạ Linh sau khi thấy vid này ☹️,non_toxic
Bóng dơ,toxic
Mai Ánh Thi có nha em ơi ibx nha,non_toxic
Có tiền đi đường quyền =)),non_toxic
Trần Bình Trọng Vừa xog = 1k like :) các bác sống nhanh vl :),toxic
Tôi nghĩ tiền không làm gì được các ông ạ =)),non_toxic
Nhớ đến đấng nha 3 gà 😎😎,non_toxic
Mê cô quá,non_toxic
"Vô tình thấy, giống anh quá 🤨",non_toxic
Đặng Thái Hoàng Châu dư âm từ năm này sang năm khác,non_toxic
Tú ko cho anh 3 blue và cái kết :)),non_toxic
Fan cứng nè,non_toxic
"em đây anh ơi , bây giờ em mới nhận ra bên em còn có 1 người anh tuyệt vời như anh anh Độ ạ 🥺",non_toxic
I love you to ca mo,non_toxic
Đumoe nói leo,toxic
"Pha đánh răng ám ảnh nhất lịch sử điện ảnh, có thể lưu truyền mọi thời đại, là biểu tượng để các diễn viên học tập theo🤣🤣🤣🤣",non_toxic
Đu.má tu.biên tu.diēn luon...,toxic
🙃,non_toxic
"hoc cc gi` nua~, ve san voi ma` kiem an =]]z",toxic
Thanh Phương c làm 1 bài review đi c,non_toxic
Đình Quang thô nhưnh thật quá bác ạ =))),non_toxic
Abe có thể chiếm đoạt được trái tim của Tiểu Tiểu nhưng riêng blue của Tiểu Tiểu thì Abe tuổi lol chiếm đoạt được :vv,non_toxic
Đúng là chó làm người phải chịu ... haizzz,toxic
Bùi Minh Huệ crush ưii . Anh thích em đó 😶,non_toxic
Cô Minh hiếu nói chuyện thật thà dễ thương quá ✌️✌️✌️✌️✌️,non_toxic
Ai biết tên kiểu này là gì không ạ,non_toxic
Uống nước là đi tù,toxic
đéo hiểu kiểu gì,toxic
e chúc panda của abe iu dấu 20/10 vui vẻ nhé và đừng quên xoá kênh,non_toxic
Đờ mờ cuộc sống,toxic
Phải xử lý hình sự mới sáng mắt ra đc !,non_toxic
Dạo này nước mỹ ko dc an toàn . Sao không thấy cây súng 🔫🔫🔫 của nhà tien tri vậy,non_toxic
em về tộc anh r nhưng chưa có fc🤣,non_toxic
khó chịu vãi😂,non_toxic
Ri thì như thor luôn,non_toxic
Góp vui một tí :3,non_toxic
Mọi người xin dành 1 chút thời gian nguyên góp mỗi người 1 like vào ảnh đại diện của tôi được hong :)),non_toxic
triệu hồi phúc nghẹo..trọng lú,toxic
"nói z thôi cho dân chúng bớt xoắn lên nhưng thực chắc cũng đâu vào đấy. nó chơi ngầm thì đố ai biết. cái nhà nước này nó nát bét hết rồi. các bác đừng có mơ làm nhà nước nữa, từ cấp 3 đã xác định là làm nghề gì mà k liên qua nhà nước rồi, vì tao biết g",toxic
Thời gian ủ bệnh lên tới 14 ngày khả năng cao vẫn phải cách li theo dõi thêm,non_toxic
Mặt độ trông buồn cười vl kiểu con ơi cho bố cầm ms kkk,non_toxic
Pha xử lí hay nhất từng xem,non_toxic
Thêm quả carô ở trong nữa nhìn chán 😑😓,non_toxic
Bà này đỉnh thật. Nữ tướng đáng khâm phục. Giá như mà Việt Nam! Có sự lãnh đạo của bà thay cho NTKN thì hay cho đất nước.,non_toxic
dư luận viên vào ẳng nào :v,toxic
from,non_toxic
Nghe kì kì sao á. Con trai với mẹ mà liệu mấy cái lời nghe 😋😋😡,non_toxic
Lisa cai lậy 😍,non_toxic
Tq hắc xì cả thế giới phải rung chuyển,non_toxic
NGHIỆP BÊ ĐÊ NẶNG LẮM R MÁ ƠI,toxic
Duy Trần xin video với,non_toxic
Yêu thầy dấu bé 3,non_toxic
Nó giống vãi lol a ưi!,non_toxic
Cũng đã đến lúc những người làm công tác bảo vệ an ninh.các khu phố cần vào cuộc. Vì hình ảnh của đất nước không để mấy thằng lưu manh làm mất mặt được,toxic
add e muốn mua cái này mua ở đâu ạ.,non_toxic
Lại lên cơn hoang tưởng bậc cao hơn!😁😂🤣,non_toxic
Nguyễn Minh bộ ba siêu phẩm r sao đọ,non_toxic
Phương Minn ngộ nghĩnh nhỉ lạ lone nhỉ ? Rõ ràng cố tình tạo phốt để bán hàng online :))) mà làm như hay lắm . Sống dơ v ai mua đồ cho trời .,toxic
@Chiến trần chuẩn 👌,non_toxic
@Yo Min :)))),non_toxic
HÌNH NHƯ THIẾU 4X :3,non_toxic
Chỉ chịch xã giao thôi =)))),toxic
Trúc Ngân ơ s lại đi so sánh dink kout của cây a tê em vs đỉnh cao của Jack vại bạn?? 🙃🙃Thiệt là khập khiễng vs cả thiệt thòi cho bạn nện đàn dzợ🙂🙂🙂,non_toxic
Hoàng Kiên nói đúng lại còn chuẩn 🤣🤣,non_toxic
Có cc nè em :),toxic
Page lâu lâu nói chuyện chuẩn dễ sợ >.<,non_toxic
Kinhh,non_toxic
Quảng cáo lộ liễu quá 😁😁,non_toxic
Nghĩ ló chán :),non_toxic
Nghe thế thôii làm theo mấtt hếttt =))),non_toxic
Loại này phải,non_toxic
buồn a ạ 😞,non_toxic
Mong mấy bác được cách li ở nhà đừng trốn là em vui rồi :))))) cứ đi nhông nhông thì em cũng sợ :)))),non_toxic
bậy zòi :v nhìn bên trái đi :D đừng nhìn bên phải :v,non_toxic
hợp lý a ưi 🤣🤣,non_toxic
Nguyễn Trọng Hiệp hiệp bmw à 🤣🤣,non_toxic
Do lười chụp ảnh có mỗi kiểu chụp trộm thôi,non_toxic
Thân hình phụ huynh gương mặt học sinh,non_toxic
"Giống như câu , Ngêu sò tranh nhau , Ngư ông đắc lợi",non_toxic
Hợp lí anh ưiii,non_toxic
Đinh Nguyễn Vươn Anh Tuan,non_toxic
Vũ Mai Ly ui thật á,non_toxic
Huyền Khánh Phùng chả vờ chả vịt :)),non_toxic
Nguyễn Định tui xợ á,non_toxic
Minh Tran uh mình nghe cũng nghĩ là người miền trung mà bả ko biết phân biệt,non_toxic
Chị ba sang quá à...Đi hửi quần xì của con les,toxic
Đi sau Việt Nam hàng thập kỉ,non_toxic
chúng mày phải thông cảm các anh ý đều có ước mơ làm hình sự nhưng dòng đời xô đẩy phải đi làm trật tự và giao thông .,non_toxic
Hang Vu đú trend lâu roài =)),non_toxic
Thuyết phục vl,non_toxic
"Rõ ràng chức danh chủ tịch mà,sao ý thức lại khác vậy😌((",non_toxic
"Nguyễn Thanh Mai Trúc t hay kể chuyện cười cho m nghe , nh làm việc gì nhớ tập trung chuyên môn nghe ch =)))",non_toxic
"Nhà nói dóc, nhà ảo tưởng chứ biết con mẹ gì mà tiên tri 😄🤣😂😂😂😃😂😭😢😘",toxic
bạn trai nhà người ta chưa bao giờ làm tôi thất vọng :)),non_toxic
đợi ei,non_toxic
Tiêu Chảy Cấp .,non_toxic
sang năm mới mong anh bớt hí nha,non_toxic
Lúc đó tôi tưởng thế là ngầu,non_toxic
nhìn chất vãi lìn anh ơiiiii,non_toxic
Nguyễn Tuấn Phong thương chị quá,non_toxic
Âu cũng là số phận muốn đóng vai thiện nhưng đời xô đẩy ...,non_toxic
Hi vọng chị kế toán cũng thấy cái này. Chị ơi vì một cái Tết ấm no hãy thương tụi em,non_toxic
Ngọc Huy học hỏi idol để có quả đầu đẹp nha =))),non_toxic
BenBen Duong,non_toxic
#trời ơi cưng quá cô ơi,non_toxic
Chui nua di co cho bo tat ngua,toxic
Nể nhất anh phóng viên! Ngồi mặt tỉnh bơ ko biến sắc,non_toxic
Vợ em mấy anh ơi :)) em lớp trưởng nè,non_toxic
bản kia hay hơn,non_toxic
dạo này pản động nhiếu quá mấy bạn bò đỏ ah :D,toxic
chất vlon a ưii,non_toxic
Ủa ah nói hay vậy🤣🤣,non_toxic
"cái cap hơi gây war đó nha!vậy tui nói chương trình mấy người này nọ mấy người chịu không?nói gì thì suy nghĩ vào,xin lỗi chứ chương trình có duyên mà cmt đ có duyên thì dẹp hay im m* mồm cho xong!Thân!!",toxic
"Nhà tiên tri hay đấy, ông có thêm 1 phiếu về VN chơi nhé 👌",non_toxic
đặt khô gà ở đâu v thầy ơi,non_toxic
Ngọc Như chắc là sẽ bíu ty phun lắm đâyyy,non_toxic
nhà thầy đâu tết ghé coi\.,non_toxic
Lê văn tám là hư cấu à bacd,non_toxic
dân miền tây nam rất thích đeo vàng khoe khoang nhỉ,non_toxic
Cưng bã dễ sợ,non_toxic
"Tiên tri vũ trụ múa võ vui kinh nhể, thấy tiên tri dùng thế cuối rồi nói câu: ""súng bắn không trúng, dao chém không lủng"" tự dưng muốn cười kinh khủng ka ka ka.""",non_toxic
